"tick","Provider Population"
1288.0,748
1289.0,748
1290.0,749
1291.0,750
1292.0,751
1293.0,752
1294.0,752
1295.0,753
1296.0,753
1297.0,754
1298.0,755
1299.0,754
1300.0,755
1301.0,756
1302.0,757
1303.0,758
1304.0,759
1305.0,759
1306.0,760
1307.0,761
1308.0,762
1309.0,763
1310.0,764
1311.0,765
1312.0,766
1313.0,766
1314.0,766
1315.0,767
1316.0,768
1317.0,769
1318.0,769
1319.0,770
1320.0,771
1321.0,772
1322.0,772
1323.0,773
1324.0,773
1325.0,774
1326.0,775
1327.0,776
1328.0,777
1329.0,778
1330.0,778
1331.0,779
1332.0,780
1333.0,780
1334.0,781
1335.0,782
1336.0,783
1337.0,783
1338.0,784
1339.0,785
1340.0,786
1341.0,787
1342.0,788
1343.0,789
1344.0,789
1345.0,790
1346.0,789
1347.0,790
1348.0,791
1349.0,792
1350.0,793
1351.0,793
1352.0,794
1353.0,795
1354.0,796
1355.0,797
1356.0,798
1357.0,799
1358.0,800
1359.0,800
1360.0,801
1361.0,802
1362.0,803
1363.0,804
1364.0,805
1365.0,806
1366.0,807
1367.0,808
1368.0,809
1369.0,810
1370.0,811
1371.0,812
1372.0,813
1373.0,814
1374.0,815
1375.0,816
1376.0,816
1377.0,816
1378.0,815
1379.0,816
1380.0,816
1381.0,817
1382.0,818
1383.0,818
1384.0,819
1385.0,820
1386.0,821
1387.0,821
1388.0,821
1389.0,822
1390.0,823
1391.0,823
1392.0,824
1393.0,824
1394.0,825
1395.0,826
1396.0,826
1397.0,827
1398.0,828
1399.0,829
1400.0,829
1401.0,830
1402.0,831
1403.0,831
1404.0,832
1405.0,833
1406.0,834
1407.0,835
1408.0,835
1409.0,835
1410.0,835
1411.0,836
1412.0,837
1413.0,837
1414.0,838
1415.0,838
1416.0,839
1417.0,839
1418.0,840
1419.0,840
1420.0,840
1421.0,841
1422.0,842
1423.0,843
1424.0,843
1425.0,843
1426.0,844
1427.0,845
1428.0,846
1429.0,846
1430.0,846
1431.0,846
1432.0,846
1433.0,847
1434.0,848
1435.0,848
1436.0,849
1437.0,849
1438.0,850
1439.0,851
1440.0,852
1441.0,853
1442.0,854
1443.0,855
1444.0,854
1445.0,855
1446.0,856
1447.0,856
1448.0,857
1449.0,858
1450.0,859
1451.0,859
1452.0,859
1453.0,860
1454.0,861
1455.0,861
1456.0,861
1457.0,861
1458.0,862
1459.0,862
1460.0,862
1461.0,862
1462.0,863
1463.0,863
1464.0,864
1465.0,864
1466.0,865
1467.0,866
1468.0,866
1469.0,867
1470.0,868
1471.0,869
1472.0,869
1473.0,869
1474.0,870
1475.0,870
1476.0,870
1477.0,871
1478.0,872
1479.0,872
1480.0,873
1481.0,874
1482.0,875
1483.0,875
1484.0,875
1485.0,876
1486.0,877
1487.0,877
1488.0,878
1489.0,878
1490.0,878
1491.0,879
1492.0,879
1493.0,880
1494.0,881
1495.0,882
1496.0,883
1497.0,884
1498.0,885
1499.0,884
1500.0,885
1501.0,885
1502.0,885
1503.0,886
1504.0,887
1505.0,888
1506.0,889
1507.0,890
1508.0,891
1509.0,891
1510.0,892
1511.0,893
1512.0,894
1513.0,895
1514.0,896
1515.0,897
1516.0,898
1517.0,898
1518.0,898
1519.0,899
1520.0,899
1521.0,899
1522.0,900
1523.0,901
1524.0,902
1525.0,903
1526.0,902
1527.0,902
1528.0,902
1529.0,903
1530.0,904
1531.0,905
1532.0,906
1533.0,907
1534.0,908
1535.0,909
1536.0,910
1537.0,910
1538.0,911
1539.0,911
1540.0,912
1541.0,913
1542.0,913
1543.0,914
1544.0,915
1545.0,916
1546.0,916
1547.0,917
1548.0,918
1549.0,919
1550.0,920
1551.0,920
1552.0,921
1553.0,922
1554.0,922
1555.0,923
1556.0,922
1557.0,922
1558.0,923
1559.0,923
1560.0,924
1561.0,924
1562.0,925
1563.0,925
1564.0,926
1565.0,925
1566.0,925
1567.0,926
1568.0,926
1569.0,927
1570.0,927
1571.0,927
1572.0,927
1573.0,928
1574.0,929
1575.0,930
1576.0,930
1577.0,931
1578.0,931
1579.0,931
1580.0,931
1581.0,932
1582.0,933
1583.0,933
1584.0,934
1585.0,935
1586.0,935
1587.0,935
1588.0,936
1589.0,937
1590.0,938
1591.0,939
1592.0,940
1593.0,941
1594.0,942
1595.0,943
1596.0,942
1597.0,942
1598.0,943
1599.0,944
1600.0,945
1601.0,945
1602.0,945
1603.0,945
1604.0,946
1605.0,946
1606.0,947
1607.0,947
1608.0,948
1609.0,949
1610.0,949
1611.0,950
1612.0,951
1613.0,952
1614.0,952
1615.0,951
1616.0,952
1617.0,952
1618.0,953
1619.0,954
1620.0,955
1621.0,956
1622.0,957
1623.0,958
1624.0,958
1625.0,958
1626.0,958
1627.0,959
1628.0,958
1629.0,959
1630.0,960
1631.0,961
1632.0,962
1633.0,961
1634.0,961
1635.0,962
1636.0,962
1637.0,963
1638.0,962
1639.0,962
1640.0,963
1641.0,964
1642.0,964
1643.0,964
1644.0,964
1645.0,965
1646.0,966
1647.0,966
1648.0,966
1649.0,967
1650.0,968
1651.0,969
1652.0,970
1653.0,971
1654.0,971
1655.0,972
1656.0,973
1657.0,973
1658.0,973
1659.0,973
1660.0,973
1661.0,974
1662.0,975
1663.0,976
1664.0,977
1665.0,978
1666.0,979
1667.0,980
1668.0,981
1669.0,982
1670.0,982
1671.0,982
1672.0,982
1673.0,982
1674.0,982
1675.0,983
1676.0,983
1677.0,984
1678.0,985
1679.0,985
1680.0,986
1681.0,987
1682.0,986
1683.0,986
1684.0,986
1685.0,987
1686.0,988
1687.0,989
1688.0,990
1689.0,991
1690.0,992
1691.0,993
1692.0,994
1693.0,995
1694.0,996
1695.0,997
1696.0,998
1697.0,999
1698.0,999
1699.0,1000
1700.0,1001
1701.0,1002
1702.0,1003
1703.0,1003
1704.0,1004
1705.0,1005
1706.0,1006
1707.0,1007
1708.0,1008
1709.0,1009
1710.0,1010
1711.0,1011
1712.0,1012
1713.0,1013
1714.0,1013
1715.0,1013
1716.0,1014
1717.0,1015
1718.0,1015
1719.0,1015
1720.0,1016
1721.0,1017
1722.0,1018
1723.0,1018
1724.0,1019
1725.0,1019
1726.0,1020
1727.0,1021
1728.0,1022
1729.0,1023
1730.0,1024
1731.0,1025
1732.0,1026
1733.0,1027
1734.0,1028
1735.0,1029
1736.0,1029
1737.0,1030
1738.0,1030
1739.0,1031
1740.0,1032
1741.0,1033
1742.0,1033
1743.0,1034
1744.0,1035
1745.0,1036
1746.0,1037
1747.0,1037
1748.0,1037
1749.0,1038
1750.0,1039
1751.0,1040
1752.0,1040
1753.0,1041
1754.0,1042
1755.0,1043
1756.0,1043
1757.0,1044
1758.0,1044
1759.0,1045
1760.0,1046
1761.0,1047
1762.0,1048
1763.0,1049
1764.0,1050
1765.0,1051
1766.0,1052
1767.0,1053
1768.0,1054
1769.0,1054
1770.0,1055
1771.0,1056
1772.0,1057
1773.0,1058
1774.0,1059
1775.0,1059
1776.0,1059
1777.0,1060
1778.0,1061
1779.0,1062
1780.0,1063
1781.0,1064
1782.0,1064
1783.0,1065
1784.0,1066
1785.0,1067
1786.0,1068
1787.0,1069
1788.0,1070
1789.0,1071
1790.0,1072
1791.0,1072
1792.0,1073
1793.0,1074
1794.0,1075
1795.0,1076
1796.0,1077
1797.0,1076
1798.0,1076
1799.0,1077
1800.0,1077
1801.0,1077
1802.0,1078
1803.0,1079
1804.0,1080
1805.0,1081
1806.0,1082
1807.0,1082
1808.0,1083
1809.0,1083
1810.0,1083
1811.0,1084
1812.0,1085
1813.0,1086
1814.0,1087
1815.0,1088
1816.0,1088
1817.0,1089
1818.0,1090
1819.0,1091
1820.0,1091
