"tick","Resource","Service"
1003.0,836,13
1004.0,838,14
1005.0,838,15
1006.0,842,15
1007.0,845,15
1008.0,844,15
1009.0,844,15
1010.0,844,16
1011.0,845,16
1012.0,846,16
1013.0,847,16
1014.0,847,16
1015.0,847,16
1016.0,849,16
1017.0,851,16
1018.0,851,16
1019.0,851,16
1020.0,852,16
1021.0,853,17
1022.0,855,18
1023.0,856,18
1024.0,859,18
1025.0,859,18
1026.0,859,19
1027.0,860,19
1028.0,860,19
1029.0,861,19
1030.0,864,19
1031.0,864,19
1032.0,865,19
1033.0,865,19
1034.0,865,19
1035.0,868,19
1036.0,867,19
1037.0,868,19
1038.0,869,19
1039.0,870,19
1040.0,869,19
1041.0,872,19
1042.0,870,19
1043.0,874,19
1044.0,873,19
1045.0,874,19
1046.0,874,19
1047.0,878,19
1048.0,878,19
1049.0,880,19
1050.0,880,19
1051.0,880,19
1052.0,881,19
1053.0,883,19
1054.0,887,19
1055.0,888,19
1056.0,885,19
1057.0,888,19
1058.0,890,19
1059.0,889,19
1060.0,891,19
1061.0,893,19
1062.0,892,19
1063.0,894,19
1064.0,893,19
1065.0,896,19
1066.0,896,19
1067.0,899,19
1068.0,900,19
1069.0,901,19
1070.0,901,19
1071.0,905,19
1072.0,903,19
1073.0,905,19
1074.0,906,19
1075.0,903,19
1076.0,903,19
1077.0,903,19
1078.0,905,19
1079.0,908,19
1080.0,912,19
1081.0,912,19
1082.0,912,19
1083.0,915,19
1084.0,914,19
1085.0,914,19
1086.0,916,19
1087.0,917,19
1088.0,916,19
1089.0,915,19
1090.0,917,19
1091.0,918,19
1092.0,921,19
1093.0,922,19
1094.0,921,19
1095.0,921,19
1096.0,921,19
1097.0,923,19
1098.0,924,19
1099.0,925,19
1100.0,925,19
1101.0,925,19
1102.0,925,19
1103.0,925,19
1104.0,925,19
1105.0,925,19
1106.0,927,19
1107.0,928,19
1108.0,931,19
1109.0,935,19
1110.0,936,19
1111.0,934,19
1112.0,934,19
1113.0,935,19
1114.0,935,20
1115.0,938,20
1116.0,937,20
1117.0,938,20
1118.0,939,20
1119.0,940,20
1120.0,940,20
1121.0,943,20
1122.0,942,20
1123.0,943,20
1124.0,943,20
1125.0,943,20
1126.0,943,20
1127.0,946,20
1128.0,947,20
1129.0,949,20
1130.0,948,20
1131.0,951,20
1132.0,951,20
1133.0,950,20
1134.0,951,20
1135.0,953,20
1136.0,950,20
1137.0,951,20
1138.0,951,20
1139.0,950,20
1140.0,950,20
1141.0,951,20
