"tick","Res Queue Mean","Ser Queue Mean","Quality Mean","Rank Mean"
70.0,21.0,NaN,Infinity,18.136041855804606
71.0,21.0,NaN,Infinity,18.136041855804606
72.0,21.0,NaN,Infinity,18.136041855804606
73.0,21.0,NaN,Infinity,18.136041855804606
74.0,21.0,NaN,Infinity,18.136041855804606
75.0,20.0,NaN,Infinity,18.136041855804606
76.0,20.0,NaN,Infinity,18.136041855804606
77.0,20.0,NaN,Infinity,18.136041855804606
78.0,20.0,NaN,Infinity,18.136041855804606
79.0,20.0,NaN,Infinity,18.136041855804606
80.0,20.0,NaN,Infinity,18.136041855804606
81.0,20.0,NaN,Infinity,18.136041855804606
82.0,20.0,NaN,Infinity,18.136041855804606
83.0,20.0,NaN,Infinity,18.136041855804606
84.0,20.0,NaN,Infinity,18.136041855804606
85.0,20.0,NaN,Infinity,18.136041855804606
86.0,20.0,NaN,Infinity,18.136041855804606
87.0,23.0,NaN,Infinity,18.136041855804606
88.0,23.0,NaN,Infinity,18.136041855804606
89.0,23.0,NaN,Infinity,18.136041855804606
90.0,27.0,NaN,Infinity,18.136041855804606
91.0,31.0,NaN,Infinity,18.136041855804606
92.0,31.0,NaN,Infinity,18.136041855804606
93.0,31.0,NaN,Infinity,18.136041855804606
94.0,31.0,NaN,Infinity,18.136041855804606
95.0,31.0,NaN,Infinity,18.136041855804606
96.0,31.0,NaN,Infinity,18.136041855804606
97.0,31.0,NaN,Infinity,18.136041855804606
98.0,31.0,NaN,Infinity,18.136041855804606
99.0,31.0,NaN,Infinity,18.136041855804606
100.0,31.0,NaN,Infinity,18.136041855804606
101.0,31.0,NaN,Infinity,18.136041855804606
102.0,31.0,NaN,Infinity,18.136041855804606
103.0,31.0,NaN,Infinity,18.136041855804606
104.0,31.0,NaN,Infinity,18.136041855804606
105.0,31.0,NaN,Infinity,18.136041855804606
106.0,31.0,NaN,Infinity,18.136041855804606
107.0,31.0,NaN,Infinity,18.136041855804606
108.0,31.0,NaN,Infinity,18.136041855804606
109.0,31.0,NaN,Infinity,18.136041855804606
110.0,31.0,NaN,Infinity,18.136041855804606
111.0,29.0,NaN,Infinity,18.136041855804606
112.0,29.0,NaN,Infinity,18.136041855804606
113.0,29.0,NaN,Infinity,18.136041855804606
114.0,29.0,NaN,Infinity,18.136041855804606
115.0,29.0,NaN,Infinity,18.136041855804606
116.0,29.0,NaN,Infinity,18.136041855804606
117.0,29.0,NaN,Infinity,18.136041855804606
118.0,29.0,NaN,Infinity,18.136041855804606
119.0,29.0,NaN,Infinity,15.62512462442217
120.0,29.0,NaN,Infinity,15.62512462442217
121.0,29.0,NaN,Infinity,15.62512462442217
122.0,29.0,NaN,Infinity,15.62512462442217
123.0,29.0,NaN,Infinity,15.62512462442217
124.0,29.0,NaN,Infinity,15.62512462442217
125.0,29.0,NaN,Infinity,15.62512462442217
126.0,29.0,NaN,Infinity,15.62512462442217
127.0,29.0,NaN,Infinity,15.62512462442217
128.0,29.0,NaN,Infinity,15.62512462442217
129.0,29.0,NaN,Infinity,15.62512462442217
130.0,32.0,NaN,Infinity,15.62512462442217
131.0,32.0,NaN,Infinity,15.62512462442217
132.0,32.0,NaN,Infinity,15.62512462442217
133.0,32.0,NaN,Infinity,15.62512462442217
134.0,32.0,NaN,Infinity,15.62512462442217
135.0,32.0,NaN,Infinity,15.62512462442217
136.0,32.0,NaN,Infinity,15.62512462442217
137.0,32.0,NaN,Infinity,15.62512462442217
138.0,32.0,NaN,Infinity,15.62512462442217
139.0,32.0,NaN,Infinity,15.62512462442217
140.0,32.0,NaN,Infinity,15.62512462442217
141.0,31.0,NaN,Infinity,15.62512462442217
142.0,31.0,NaN,Infinity,15.62512462442217
143.0,31.0,NaN,Infinity,15.62512462442217
144.0,31.0,NaN,Infinity,15.62512462442217
145.0,31.0,NaN,Infinity,15.62512462442217
146.0,31.0,NaN,Infinity,15.62512462442217
147.0,30.0,NaN,Infinity,15.62512462442217
148.0,30.0,NaN,Infinity,15.62512462442217
149.0,30.0,NaN,Infinity,15.62512462442217
150.0,30.0,NaN,Infinity,15.62512462442217
151.0,30.0,NaN,Infinity,15.62512462442217
152.0,30.0,NaN,Infinity,15.62512462442217
153.0,30.0,NaN,Infinity,15.62512462442217
